id,内容,非此即彼,以偏概全,心理过滤,否定正面思考,读心术,先知错误,放大,情绪化推理,应该式,乱贴标签,罪责归己,罪责归他
36,我已经感觉不到自己了大脑混乱真的很无奈没有一点点调节能力了不是别人说就能理解的说不出来的感觉不知道自己能坚持到什么时候苟且偷生的活着没有一点目标了真的感觉自己只剩一个躯壳了连自己的家人都感觉很陌生,0,0,0,0,0,0,0,0,0,1,0,0
37,这种天堂地狱随时切换的日子什么时候才能消停一会呀,1,0,0,0,0,0,0,0,0,0,0,0
38,打卡我今天又分手了我求了他好长时间他说好累真的不想和我走了我懂很多道理可是我就是走不出来从小被孤立的原因吧我觉得自己就是没有用的人一个人离开我我真的受不了我想睡也睡不着我不敢去医院也买不到安眠药就吞了之前买的退黑素我倒了很多在嘴里但我还是睡不着,0,0,1,0,0,0,1,0,0,1,0,0
39,一切都不会好了,0,0,0,0,0,1,0,0,0,0,0,0
40,每次听老师说什么责任担当之类的话就感觉自己很没用每天都只是为了活着而活着还讲什么以后,0,0,0,0,0,0,0,0,0,1,0,0
41,"好像没有什么可以依赖相信的人了	对家人也疏离	我感觉真的我很糟糕啊",0,0,0,0,0,0,0,0,0,1,0,0
42,又被屁大点事压得喘不过气了根本不知道自己想要什么只能循规蹈矩地努力也不知道为了什么,0,0,1,0,0,0,1,0,0,0,0,0
43,就让我恶心透顶吧我是恶人你就这么认为吧,0,0,0,0,0,0,0,0,0,1,0,0
44,这次小猪她们估计得恨死我了姑姑说我死了她也活不了她的两个孩子怎么办窒息的感觉越来越强烈了我马上也要走了,0,0,0,0,0,1,0,0,0,0,0,0
45,我是不是不应该存在啊伤心,0,0,0,0,0,0,0,0,1,0,0,0
46,我最近很老实的吃药好像也遇上了那种好人胃口有改善了睡眠也是医生跟我说人这一辈子不知道会遇到多少你知道又或者你不知道的帮助你的人像是父母光是对他们好你也没有办法完全回报他们其实这些我都清楚可我还是自私的我不愿意我不想除了他们去对其他人负责,0,0,0,0,0,0,0,0,0,1,0,0
47,可是我真的好懦弱,0,0,0,0,0,0,0,0,0,1,0,0
48,家人朋友都抛弃了我我是多失败哈哈哈哈哈一切都没有意义了谢谢你安慰我安慰了这么多人你会幸福的,0,0,0,0,0,0,1,0,0,1,0,0
49,不知道哪里好浑身的缺点表达能力也不行交际也不行,0,1,0,0,0,0,1,0,0,0,0,0
50,真奇怪总想路过一个在哭的女孩子总想抱住她可能我太沙雕了所以从来不敢多哭可如果你哭我一定会抱住你啊,0,0,0,0,0,0,0,0,0,1,0,0
51,我大概是很暴躁了改不好论文格式想把电脑都甩出去扔了,0,0,0,0,0,0,0,0,0,1,0,0
52,昨天终于去了心理咨询其实是一件一直没有勇气去做的事情去了之后才确认了其实我真的真的一只脚已经离开地面了我会虽然会继续活着但我却确定我无法获得快乐,0,0,0,0,0,1,0,0,0,0,0,0
53,大概所有事情都不会好了,0,1,0,0,0,1,0,0,0,0,0,0
54,我今天好难过原以为只是抑郁情绪而已好像从年爷爷去世开始我就会莫名其妙的哭可是我回想一直以来我从来没有开心过走饭我该怎么办啊,0,1,0,0,0,0,0,0,0,0,0,0
55,我真的好没用好蠢啊眼泪都不想掉下来了,0,0,0,0,0,0,0,0,0,1,0,0
56,真的很难过给你们带来困扰我很抱歉,0,0,0,0,0,0,0,0,0,0,1,0
57,早上起来还是觉得很烦很烦很累很累为什么这么多波折为什么就是我,0,0,1,0,0,0,0,0,0,0,0,0
58,我想自杀没人知道我没有爸爸了我根本就走不出来每次还要很开心地当姐姐我工作还做不好给不了家里什么妈妈的担子很重我不想背负很重家里的包袱我想做自己喜欢的事情陌生的城市我一个人都不认识呐我还怕黑每天都开灯睡觉难过的时候没次都要躲一个小角落里自己抱自己伤心,0,0,1,0,0,0,0,0,0,0,0,0
59,我觉得这个世界都不需要我了,0,0,0,0,0,1,0,0,0,0,0,0
60,本来想去陪你的我妈也不要我我爱的人也放弃我所以割腕自杀可是失败了被拦下来了真的疼割了好几次血才滴的多一点觉得胳膊手指都是冰的好好奇你是怎么死的不疼吗我好不容易有勇气割腕却失败了失望,0,0,1,0,0,0,0,0,0,0,0,0
61,能不能不爱了因为爱太痛了我痛的快死了,0,0,1,0,0,0,1,0,0,0,0,0
62,永远都是不被珍惜的人,0,1,0,0,0,1,0,0,0,0,0,0
63,讨厌外贸讨厌做客户的舔狗讨厌节假日还要回消息,0,0,0,0,0,0,0,0,0,1,0,0
64,我又来了今天跟朋友出去玩去到人多的地方我突然有种很怪的感觉这个世界好多人我就算出去玩也觉得好累好累我不知道我活着是为了什么工作是为了什么我其实什么都不想做什么都不想有,0,0,0,1,0,0,0,0,0,0,0,0
65,爱情会发生但我不相信会发生在我身上也不相信任何感情真的能够一辈子希望你们遇到的都能长长久久,0,0,0,0,0,1,0,0,0,0,0,0
66,辜负了时光辜负了亲情爱情友情辜负了自己辜负了所有美好的事物生而为人我很失败,0,0,0,0,0,0,0,0,0,1,0,0
67,我今晚又哭了躲在被窝里不敢放声内心压抑的要窒息不知道我还有没有明天我不想这般累我想快乐,0,0,1,0,0,0,0,0,0,0,0,0
68,别人一句无心的话就可以让我怒火中烧我太敏感了真的好难,0,0,0,0,0,0,1,0,0,0,0,0
69,失眠了好烦有时候觉得人活着真没意思感觉自己的最美好的时光已经过去了从毕业开始再也不会有在大学时候的那种快乐了,0,0,0,0,0,1,0,0,0,0,0,0
70,有时候总幻想自己手中有刀然后狠狠的捅进心脏直到有天我真的拿起了一把刀快要往心脏捅去的时候又触电似的丢开开始颤抖着不断的骂自己神经病神经病啊我好害怕,0,0,0,0,0,0,0,0,0,1,0,0
71,没有快乐没有灵魂没有兴趣什么都没有的一个躯壳而已看到一些暖也会难过,0,0,0,1,0,0,0,0,0,0,0,0
72,崩溃一上午题目没做出来几道答案还看不懂,0,0,0,0,0,0,1,0,0,0,0,0
73,预约了星期三的精神科看病可是我不想治好所有的现实不会变好最终都会向我所预想的最坏结果发展的短暂的健康还有意义吗祈祷我得绝症如果有另一个努力奋斗的人有生命危险的话请用我替换他也算是愿望,0,0,0,0,0,1,0,0,0,0,0,0
74,饭哥对不起又懦弱地来你微博下哭泣我不知从何说起我的悲伤只知道有一个伤口估计要好久好久才能愈合,0,0,0,0,0,0,0,0,0,1,0,0
75,我懦弱的连死亡的勇气都不具备想过无数次可每次到那个地方却又止住了脚步退了回去又陷入无尽的折磨当中我也不知道吃药多少能死透我也不知道这个过程会有多久会有多痛不知道父母该怎么办我该怎么给他们一个交代还有我的朋友和我老师我亲戚这么多牵挂啊什么时候才能抛开,0,0,0,0,0,0,0,0,0,1,0,0
76,饭饭我还是调整不好我的心态我不想去上学了真的不愿意了我害怕学校我只是一个很懦弱的人而已我想告诉我爸所有的事情我想休学但我又害怕他对我失望,0,0,0,0,0,0,0,0,0,1,0,0
77,我不要做噩梦了我不要做噩梦了没有人会安慰我,0,0,0,0,0,1,0,0,0,0,0,0
78,我是一个绝缘体生活在地球,0,0,0,0,0,0,0,0,0,1,0,0
79,饭饭我真的难过莫名其妙的难过想伤害自己还不想让别人知道想回家又不想回家我为什么是家里的希望啊根本就是个笑话真的,0,0,1,0,0,0,0,0,0,0,0,0
80,最近工作上好累而且领导一直给压力感觉怎么做都做不好作为一个哥哥也不称职作为家里长子也不称职好想死一死,0,0,0,0,0,0,1,0,0,0,0,0
81,毕业以后工作不顺利因为毕业异地和男朋友也分手了家里投资也赔了很多钱妈妈也受到了很大的打击我却无能为力三四个月胖了十斤夜里经常睡不着本该给父母更好生活的年纪现在却更让她们担心我瞒着我给我找了个稳定的工作现在就要离开我喜欢的城市回家了看不到未来,0,0,1,0,0,0,0,0,0,0,0,0
82,已经没什么人心疼我了他也远离我了伤心或许真的到了结尾了,0,1,0,0,0,1,0,0,0,0,0,0
83,我想好好的忏悔一下关于我做人方面失败的事情因为得了躁狂症把曾经的好朋友的微信删掉了很对不起她这段感情中是我不对我不应该太情绪化把事情弄到这个地步是我不该我要好好忏悔希望我们都能忘掉对方吧然后各自好好的生活希望她也能过得好,0,0,0,0,0,0,0,0,1,0,1,0
84,我真的真的好喜欢好喜欢你啊可是那怎么办呢你看你啊像是月光明亮纯洁我只是黑暗里的尘埃永远无法靠近你我只希望这一世你能永远幸福快乐你的家庭多美满啊我真的不想给你造成困扰那我就悄悄藏好了我下一世一定会在对的时间遇见你那个时候你就不要把我当小孩了,0,0,0,0,0,1,0,0,0,1,0,0
85,走在人满为患的大街感觉自己孤独得像尘随风飘散,0,0,0,0,0,0,0,0,0,1,0,0
86,忘了晚上一个人崩溃过多少次怕别人知道不敢哭出声放声大哭都不敢真差劲,0,0,0,0,0,0,0,0,0,1,0,0
87,羡慕你我有些社恐跟人对视都困难特别想一个人生活可惜每天被迫面对很多人简直生不如死,0,0,0,0,0,0,0,0,0,1,0,0
88,原来我这么招人烦啊真令人难过,0,0,0,0,0,0,0,0,0,1,0,0
89,我快要毕业了这样就可以回家这样做了可是在家又会让父母被说闲话不知道没有好的办法我能想到的可能是得病吧搞垮身体就容易死亡,0,0,0,0,0,0,1,0,0,0,0,0
90,这还是男朋友吗这不整个一诈骗犯吗,0,0,0,0,0,0,0,0,0,1,0,0
91,就让我恶心透顶吧,0,0,0,0,0,0,0,0,0,1,0,0
92,我其实讨厌我爸的自作主张明明都说好了我明天一定去上学的他给班主任打电话又是一顿说教说什么为了我好好吧确实是但不能听听我的意见吗我就想冷静一下一定要逼我我真的累了瞒着这个瞒着那个强打起精神也很累我就出去散散心,0,0,0,0,0,0,0,0,0,0,0,1
93,我绝对和他成不了要好的朋友但我真的好想好想和她成为最要好的朋友,0,0,0,0,0,1,0,0,0,0,0,0
94,饭饭啊真的很难受呢我都变成自己小时候在电视上看到的神经病了自己都觉得特别矫情何况别人呢一直很后悔为什么不让父母多生一个弟弟这样我走了也不会连累他们呢,0,0,0,0,0,0,0,0,0,1,0,0
95,死是一定会死的解脱是不会解脱的死都不会解脱的,0,1,0,0,0,1,0,0,0,0,0,0
96,好想死好难受我努力生活了都认为我过的很好但是真的好想死每天每天都想,0,0,1,0,0,0,0,0,0,0,0,0
97,工作被领导针对同事还在背后说坏话告状今天一气之下走人了没拿工资这个月还要交房租没有钱很快连住的地方也没有了父母也好多年没联系了一直一直一个人努力支撑着活下去太累了,0,0,0,0,1,0,0,0,0,0,0,0
98,我甚至很讨厌我自己觉得我自己真的很差劲很差劲,0,0,0,0,0,0,0,0,0,1,0,0
99,好讨厌我们班主任啊我不就是不爱说话吗你凭什么针对我啊你凭什么捧高踩低啊你凭什么问都不问我就给我下定义还背后说我坏话啊你配当老师吗妈的,0,0,0,0,1,0,0,0,0,0,0,0
100,人生这么的让人很绝望或者说是我的人生很绝望估计死也是这一两年的事了但先把债还清吧不想拖累家人,0,0,1,0,0,0,0,0,0,0,0,0
101,每分每秒都在煎熬胸口很酸眼泪止不住可我不想它掉下来,0,0,1,0,0,0,1,0,0,0,0,0
102,我真的喜欢你喜欢到快要疯了,0,0,0,0,0,0,0,0,0,1,0,0
103,每天早上睡醒后过了一会儿又没劲了只觉得昏昏沉沉一想起些事就烦的不得了我在情绪上还是有障碍极端状态要么就好好的但只要别人一个眼神一句话语气不对就不管是啥只要触碰到我敏感神经我就想打他甚至动手要他的命然后我就进入地狱唉好累至从上次情绪崩溃现在也没太缓过来,0,0,0,0,0,0,1,0,0,0,0,0
104,周围无知且无趣的人真的太多了压抑自我也变成了同样我想哭一哭你可不可以暂时先别睡悲伤悲伤,0,0,0,0,0,0,0,0,0,1,0,0
105,怎么才能正常的与别人交流好像被这个世界所隔离一下很难受,0,0,0,0,0,1,0,0,0,0,0,0
106,饭我好傻真的好傻好傻为他付出了一切所有所有的一切钱也没了身体也垮了孩子也没有了可他说我给不了他想要的为什么我会这么傻三年来照顾他的饮食起居帮工作出谋划策我什么都不要只想跟他在一起到头来为什么会这样所有的事情我一个人抗,0,0,0,0,0,0,0,0,0,1,0,0
107,一点情感上的小挫折就让我内心起了轩然大波朋友都劝我不要把那么多心思放在情情爱爱上可他们不能理解我无父无母无所依托内心的漂泊无人能知我得有个依靠有个寄托我才能活,0,0,0,0,0,0,1,0,0,0,0,0
108,其实有时候我真的觉得自己是个累赘每天除了拖累家人什么都做不了,0,1,0,0,0,0,0,0,0,1,0,0
109,走饭我恋爱了希望是她绝望更是她我好想逃避可是老天为什么给我牵挂活着太难了,0,0,1,0,0,0,0,0,0,0,0,0
110,我真的是个很差劲的人啊被大家讨厌当成扫把星我也不想被生出来来到这个槽糕的世界上妈妈说如果当初把我堕胎了该多好就不用经历这些不好的事情了,0,0,0,0,0,0,0,0,0,1,0,0
111,饭啊我最近总是爱哭我的神经好像越来越敏感了觉得吵闹觉得头疼我已经了讲道理我觉得自己活够了很累很累的那种但是我很害怕我有好多舍不得的东西呀,0,0,1,0,0,0,0,0,0,0,0,0
112,从不被理解也不需要被理解,0,1,0,0,0,0,0,0,0,0,0,0
113,好累啊饭外面天气那么好可是我却绝望到要崩溃了你说我该怎么办好想有人能够帮帮我泪泪,0,0,1,0,0,0,0,0,0,0,0,0
114,有目标的男生计划里没有人他是一个有野心的人你也是可有可无在利益面前可以随便抛弃你,0,0,0,0,0,1,0,0,0,1,0,0
115,原来生活从来没有对我好过呵呵此刻我只感觉瑟瑟发抖又一次见证了人心最丑陋最恶心的一面,0,1,0,0,0,0,0,0,0,0,0,0
116,经常笑只是不想给别人带来负能量实则内心有多痛苦也就自己知道有时候活得就像会演戏的小丑人们只在意他们所看到的表面当触及真心的时候却又临阵退缩我的勇气只有那么几次每一次几乎都是用尽了全身力气然而在对方看来可能也只是屈指可数中的一条鱼甚至都不存在他的故事里,0,0,0,0,0,1,0,0,0,1,0,0
117,我也是啊别人都说我内向我也恐惧社交但是我就是不知道怎么跟别人相处我也不喜欢孤独,0,0,0,0,0,0,0,0,0,1,0,0
118,我这么无趣没人想跟我聊天,0,0,0,0,0,1,0,0,0,1,0,0
119,为什么别人都活的这么好我每次活的这么差,1,0,0,0,0,1,0,0,0,0,0,0
120,饭饭我很失败,0,0,0,0,0,0,0,0,0,1,0,0
121,曾经我真的认为我是一个不差的女孩子也许不够成熟但一定值得一份quot非我不可的爱quot可为什么接近我又逃离我我真的有这么不堪吗,0,0,0,0,0,0,0,0,0,1,0,0
122,我做不到这样安慰自己我的未来会很好我表现的我对未来充满希望我在对未来奋斗着其实我只是一个丧的一批害怕死却渴望着死身心疲惫却还要装作什么事都没有笑着安慰那些被伤到的朋友用自己的事告诉他们要相信未来可我从来都没有相信我会有未来这种东西啊,0,0,1,0,0,0,0,0,0,0,0,0
123,我每天光是走出房门下楼就感觉好累噢当我打起精神和人交流的时候内心想逃好疲惫好累,0,0,1,0,0,0,0,0,0,0,0,0
124,每到夜晚对于生活的无力感像鬼一样地缠着我死亡近在咫尺,0,0,1,0,0,0,1,0,0,0,0,0
125,真的没有想到会到这种地步饭饭为什么活着这么累这么难为什么要来到这个世界上活着的意义是什么,0,0,1,0,0,0,0,0,0,0,0,0
126,饭从我记事起父母就离婚了我跟了爸爸但我爸从我上小学二年级的时候把我接到上海丢我叔叔家就不怎么管我小时候上学一个人长大了步入社会也是一个人没有亲情没有友情没有爱情从小到大有什么事情从来都是我自己一个人扛过节的时候别人都回家过节了可我连家都没有我真的好累不知道为什么而活着,0,0,1,0,0,0,0,0,0,0,0,0
127,我以为这一次我会一直好下去但是这段时间又犯了所有的负面情绪都来了感觉又被丢弃了好失败随便一个人都比我厉害,0,0,0,0,0,1,0,1,0,0,0,0
128,人情世故还是一如既往的差劲事情办的不全面,0,0,0,0,0,0,0,0,0,1,0,0
129,我明明在跟朋友逛街吃饭看电影K歌这是我喜欢的事情但是就不是发自内心的快乐只感觉人生好累好想真正开心起来这样的感觉太难受了悲伤,0,0,0,1,0,0,0,0,0,0,0,0
130,怎么度过接下来的日子我很害怕很讨厌现在的一切想消失讨厌学校讨厌各种考试面试,0,0,1,0,0,0,0,0,0,0,0,0
131,放弃吧我的特性注定了会孤独,0,0,0,0,0,1,0,0,0,0,0,0
132,深夜崩溃这不是常有的事儿吗我在矫情什么爱别离意难平所有的一切都在折磨着我不止在折磨我还折磨着世人为什么要有感情呢七情六欲四识五感呢死了不好吗,0,0,0,0,0,1,0,0,0,0,0,0
133,得了抑郁症活着就不再是一件美好的事了,0,0,0,0,0,1,0,0,0,0,0,0
134,父母对子女的羡慕嫉妒已决定了人性的丑恶评论配图,0,0,0,0,0,1,0,0,0,0,0,0
135,我真的快撑不住了我快忍不住了我好压抑我喘不过气来我害怕去上班是害怕不是讨厌我真的很怕,0,0,1,0,0,0,1,0,0,0,0,0
136,饭啊你啥时候带我走啊真的活够了活怕了一天小时分钟秒却没有一刻能够轻松的喘口气为自己而活无止境的债务无止境的责任赚多少钱也填不完家里的洞我真的放弃了我已经尽我最大的努力了还是不行,0,0,1,0,0,1,0,0,0,0,0,0
137,我又来了我受不住了我这两天把每一段感情都搞砸啦我每次都在后悔为什么我要这样做可是每一次我都会这样我好累我想睡了我感受不到爱人生真的很没意思对吧,0,0,1,0,0,0,0,0,0,0,0,0
138,我已经解释到无力我不想说了真的很难过啊大概我就是个愚昧的人可我为什么会是个人为什么非得是我这世界创造了我却无时无刻不在嘲笑我我也很讨厌自己我为什么还没有死他们看着我难过我很羞耻我听着指责对不起是我的错是我想太多才会抑郁我很抱歉可是我真的控制不了,0,1,0,0,0,0,0,0,0,1,1,0
139,理所当然的认为自己没问题可是处处是问题既然都认为没责任所以啊最后是我的问题,0,0,0,0,0,0,0,0,0,0,1,0
140,今天的我很不开心下了班家里却没人也没有饭吃妈妈要在别人家吃了饭才能给我带回来没有人知道此时的我多么难过无助就像被全世界抛弃了一样,0,0,1,0,0,0,1,1,0,0,0,0
141,路都是自己走的当你做每一种选择的时候必然要面对每一种可能讨厌失控的自己我讨厌我自己讨厌这个比昨天更喜欢你的我,0,0,0,0,0,0,0,0,0,0,1,0
142,我活的太失败啦身边的人几乎都不知道我病了我也不愿意说但是我也好想被安慰,0,0,0,0,0,0,0,0,0,1,0,0
143,果然自己一无是处,0,0,0,0,0,1,0,0,0,1,0,0
144,第一次看到你的微博我非常想知道您在那边过得怎么样我也好想逃离现在的世界我真的太痛苦了我不想再被痛苦萦绕了我什么都没有家人朋友爱人我都没有我只是孤身一人我好孤独我真的想被人拥抱如果您方便可以在梦里抱抱我安慰我吗谢谢了,0,0,1,0,0,0,0,0,0,0,0,0
145,生活真没意思苟活也累每天工作麻痹自己旅游玩什么的都没意思真的一切毫无意思,0,1,1,0,0,0,0,0,0,0,0,0
146,没什么只是在绝望的深渊继续挣扎着但我挣扎的好累啊明明他一直在陪着我可我为什么始终都逃离不了绝望的深渊,0,1,1,0,0,0,0,0,0,0,0,0
147,最难受的莫过于别人看来挺正常的只有自己知道浆糊样脑袋话说的别人听不明白怎么尝试努力大都那么无力是多么绝望,0,0,0,0,0,1,0,0,0,1,0,0
148,饭我好自私我就希望有一个人能来救救我,0,0,0,0,0,0,0,0,0,1,0,0
149,是我让我自己的生活变成这样,0,0,0,0,0,0,0,0,0,0,1,0
150,爱我的都会离开我连养条狗狗都不喜欢和我这个郁郁寡欢动不动就掉眼泪的人呆一起嫌累除了我那个我从不敢在他面前表露情绪的爸因为他不能理解我不快乐得有了病还除了那个因无法自控爱着我的妈妈一个家庭主妇开始去了解抑郁症我要死了我爸得多想不通啊我妈得多伤心呢可是我真的好累,0,0,0,0,0,1,0,0,0,0,0,0
151,饭饭割了之后会不会好点我这么丑是不是应该死了,0,0,1,0,0,0,1,0,1,0,0,0
152,孤独深深的孤独缠绕着我对一切都提不起来兴趣我没有动力向前走生活逼得我停不下来,0,0,1,0,0,0,0,0,0,0,0,0
153,饭饭我又来了昨天觉得有点甜今天又觉得好苦了没有了阳光整个人都觉得好丧想要逃离可是我又该逃哪里去呢,0,0,1,0,0,0,0,0,0,0,0,0
154,活着好累每个人都好虚伪,0,0,0,0,0,0,0,0,0,1,0,0
155,饭给我安排一场意外吧我不再撑下去了最后一次让我解脱吧让我扔掉这自卑扔掉负罪感吧我不想要再取悦任何人了我好累好累啊改不掉这性格那就让我解脱吧,1,0,0,0,0,0,0,0,0,1,0,0
156,父母同学同事好像从没有遇到过对的人都是自己的问题吧学会知足一点不好吗为什么这么贪心,0,1,0,0,0,0,0,0,0,0,1,0
157,我想会玩心机一定特别棒两个可怜兮兮的人在一起唠嗑身边的人没有一个可以相信的我是挺招人烦的我的坚持很快就会被一些不定因素打破如果哪天我因为小事离开了肯定又要被说闲话了,0,1,0,0,0,1,0,0,0,1,0,0
158,我不喜欢晚上一点也不讨厌那个无法控制又心无比肮脏的我晚上和白天根本就不是一个人啊,0,0,0,0,0,0,0,0,0,1,0,0
159,饭也许这就是命羡慕能解脱的,0,0,0,0,0,0,0,0,1,0,0,0
160,是吧有时候我在想应该是我的问题看不进那些东西,0,0,0,0,0,0,0,0,1,0,0,0
161,我根本不会变好我没救了我早就知道,0,0,0,0,0,1,0,0,0,0,0,0
162,饭你看没人喜欢身边有负能量的人有负能量的我啊在别人眼里就如臭虫一样这个世界总是不容我嘛所以我学会了假笑敷衍有的时候勇敢到自己都能骗过自己比如今天艳阳高照我们去踏青吧又是阴天嘛,0,0,0,0,0,0,0,0,0,1,0,0
163,真讨厌啊自己明明什么都做不到呢,0,1,0,0,0,1,0,0,0,0,0,0
164,大部分人其实都有或多或少自卑的我有时候也会觉得自己挺糟糕的不过要自己找一找发泄的方法比如听一听音乐掉一掉眼泪只要你开心只要不伤害自己都好身边可能真的有人没法理解自己因为有一部分人天生不会主动也学不会撒娇我也算是其中一员不过反过来想在小世界自得其乐未尝不可,0,0,0,0,0,0,0,0,0,1,0,0
165,不管是我的家庭还是感情都是被伤害的一塌糊涂我还在努力的活着为什么呢其实我早就该死的其实割喉也不疼的,0,0,1,0,0,0,1,0,1,0,0,0
166,知道吗我刚刚和心理医生打完电话她要我做了一套试题我做完了发给她看结果了医生建议我去大医院看看我可能需要吃药微笑我知道我脑子里面那些想法是不好的但是我还是忍不住想泪我感觉我很累很压抑真的我要撑住嗯我可以的嗯加油,0,0,1,0,0,0,0,0,0,0,0,0
167,我仍然希望在活着的日子找到属于我的避风港让我体验一下被爱的感觉如果没有也无所谓找到了也不好没有人会喜欢我特别是我现在这种状态,0,0,0,0,0,1,0,0,0,0,0,0
