非此即彼,以偏概全,心理过滤,否定正面思考,读心术,先知错误,放大,情绪化推理,应该句式,乱贴标签,罪责归己,罪责归他,内容
1,0,1,0,0,0,1,0,0,0,0,0,饭饭，你说这个世界怎么可以这么坏呢！我拿着3500的工资被骗了2000，一个以问路为开始，一步一步精心设计好的骗局……我好难过。为什么要在原本已经受伤的心灵上撒盐
0,0,1,0,0,0,1,0,0,1,0,0,变得越来越敏感了 以为自己不会在意失败的事情 但别人一提起还是很难过很崩溃 战胜不了自己 鼓不起勇气 觉得自己废了 没有人能倾诉了 只有这里了
0,1,0,0,1,0,0,0,1,0,0,0,人类的悲欢其实并不相通 甚至人自己都不能理解自己的悲欢 什么关心都是假的 利益 嘴里说着的情啊爱啊 对荷尔蒙的美称 说到底不过是一大坨子化合物 激素和生化反应 我眼界狭隘 所以我就这么理解 而且我认为 都该死 明天该买药了
0,1,0,0,0,0,0,0,0,0,0,0,工作不顺心，和同事也处的不开心，好像从来都不合群，又渴望合群。
0,0,1,0,0,1,0,0,0,0,0,0,每次的开心都觉得不属于自己，好像自己就属于悲伤。好想聊聊，和从前一样
0,0,0,0,1,0,0,0,0,0,0,0,刘建华我喜欢你，可你讨厌我
0,0,0,0,0,0,1,0,0,0,0,0,好累喘气都觉得累
0,0,0,0,0,0,0,0,0,1,0,0,今天我们都是沙雕
0,0,0,0,0,1,0,0,0,0,0,0,真的只想sidiao 不被人理解
0,0,0,0,0,0,1,0,0,0,0,0,我多羡慕你的决心。我真的好累。我好想死。我真的好想死 我受不了了
0,0,0,0,0,0,0,0,0,0,1,0,是我自己把路走成这样的，世间有人有梦想也在为此努力，而我只是度日如年。
0,0,0,0,0,0,0,0,0,1,0,0,哎，懦弱的人啊…那一点点痛苦都承受不了，怎么自杀啊
0,0,0,0,0,1,0,0,0,0,0,0,她过得还是很好，即便我真的用尽心思让她过的没那么好，为什么她做了那么多坏事却是永远在幸运永远在幸福
0,0,0,0,0,0,0,0,0,0,1,0,是我自己把自己过得一团糟
0,0,1,0,0,0,1,0,0,0,0,0,我巴不得现在就死掉算了，不然还要害怕每一个明天情绪崩溃的时刻，我真的受不了了，我忍不住了
0,1,0,0,0,0,0,0,0,1,0,0,我啊是个很糟糕的人呢每认识一个人最后都会离我而去
0,1,0,0,0,1,0,0,0,0,0,0,我一直不觉得这个世界上真的有会男生来喜欢我，即便喜欢了，时间久了也离开了，本来还存在侥幸心理，现在啊，我是真的明白了，不会有的
0,0,0,0,0,0,0,0,0,1,0,0,我是不是很糟糕啊
0,0,1,0,0,0,1,0,0,0,0,0,每到夜晚，对于生活的无力感像鬼一样地缠着我，死亡近在咫尺
0,1,1,0,1,0,0,0,0,0,0,0,我好像每天都在期待意外死亡&nbsp;&nbsp;我也不知道为什么 感觉每个人对我但是不好的 每个人都排挤我讨厌我&nbsp;&nbsp;我在哪里都是多余的&nbsp;&nbsp;我每天白天但是要开开心心的我真的好难受&nbsp;&nbsp;我到了晚上我就特别想哭&nbsp;&nbsp;我觉得做人真的好难好难.....
0,1,0,0,0,1,0,0,0,0,0,0,就好像只有我受苦
0,0,0,0,0,0,1,0,0,0,0,0,头疼 被舍友吵了一整天 吵的我想跳楼 连着吃好几天药还是胃疼 爬马桶上吐了半天什么也没吐出来
0,0,0,0,0,1,0,0,0,0,0,0,那我死了大家都解脱
0,0,0,0,0,0,0,1,0,0,0,0,真好 你那么有勇气 我夹杂在活与死之间很痛苦 活着确实是个令人痛苦的过程 死了也解脱了吧
0,0,1,0,0,0,1,0,0,0,0,0,抑郁症奇特之处在于，好事会变坏，坏事变更坏，精神世界中的色盲，黑白之间，只有更坏
0,0,1,0,0,0,1,0,0,0,0,0,比昨天更喜欢他了&nbsp;&nbsp;好像毒药一样&nbsp;&nbsp;会上瘾&nbsp;&nbsp;我发现我好像戒不掉了&nbsp;&nbsp;我是不是太贪恋他了&nbsp;&nbsp;突然觉得这辈子活的真累
0,0,0,0,0,0,1,1,0,0,0,0,我也好想死，做着自己不喜欢的工作，加上父母不断的催着找女朋友，这几天心情低迷，看着花花世界是越来越没趣，走在阳台上好像从上跳下去。
0,0,0,0,0,1,0,0,0,0,0,0,一天没有吃饭了，不饿，也不想吃，希望今天晚上睡着后可以猝死，不用醒来了。手机里留好了告别信，以防万一我突然的离开，也可以减轻他们的痛苦，为我开心。当然，还是希望我醒不过来吧。
0,0,0,0,0,0,0,0,0,0,1,0,饭饭，来看看你，但是总在不断伤害自己，伤害爱我的他，每一天都活在自责和矛盾中，对不起对不起对不起对不起
0,0,1,0,0,0,0,0,0,0,0,0,饭饭，你知道吗，其实我有很长一段时间无比厌恶自己。现在也是。可是，我只有在这种厌恶里才能觉得自己是真实存在的，好难过，好像真的快坚持不了了，这么恶心的自己。自己都不想在看到了
0,1,0,0,0,0,0,0,0,1,0,0,其实有时候我真的觉得自己是个累赘，每天除了拖累家人什么都做不了
0,0,0,0,0,0,0,0,0,1,0,0,我就像是一坨屎，谁见了都讨厌
1,1,1,0,0,0,0,0,0,0,0,0,31岁，创业五年，一事无成，老婆也不理解我，我也想去了，活着太痛苦
0,0,0,0,0,1,0,0,0,0,0,0,我没有爱的人，也没有人爱我
0,0,0,0,1,0,0,0,0,1,0,0,昨晚还一起看深夜电影接吻在我小区门口抱着半小时不撒手，今天一天都不回消息[微笑]男人都大猪蹄子，大概我只是一条鱼吧
0,0,1,0,0,0,0,0,0,0,0,0,想走了·一天24小时无时无刻的想走想放弃·真的真的熬不住了·永别了·
0,1,0,0,0,0,1,0,0,0,0,0,世界没有一点爱 唉
0,1,0,0,1,0,0,0,0,0,0,0,我真是令大家都讨厌的人啊
0,0,1,0,0,0,0,0,0,0,0,0,特别不想活又特别怕死，每次想着要是一睡再也醒不来了该有多好，每天都不开心，每天都对任何事情感到厌烦，其实我好羡慕身患绝症的人。饭饭，你什么时候带走我，我真的要受不了了啊
0,0,1,0,0,0,1,0,0,0,0,0,情绪上来的时候难过的要死，在楼上恨不得马上跳下去，又忍住好好去吃了药，哭的稀里哗啦
0,0,1,0,0,0,0,0,0,0,0,0,焦慮&nbsp;&nbsp;每天都想跳樓&nbsp;&nbsp;不會鋪床每天都在想
0,1,0,0,0,0,0,0,0,0,0,0,我今天好难过 原以为只是抑郁情绪而已 好像从18年爷爷去世开始我就会莫名其妙的哭 可是我回想一直以来我从来没有开心过 走饭 我该怎么办啊
0,0,0,0,0,0,1,0,0,0,0,0,实在是太痛苦了，每一分每一秒都是
0,0,0,0,0,0,0,0,0,1,0,0,我懦弱的连死亡的勇气都不具备，想过无数次，可每次到那个地方，却又止住了脚步，退了回去，又陷入无尽的折磨当中，我也不知道吃药多少能死透，我也不知道这个过程会有多久，会有多痛，不知道父母该怎么办，我该怎么给他们一个交代，还有我的朋友，和我老师，我亲戚，这么多牵挂啊，什么时候才能抛开
0,0,0,0,0,0,1,0,0,0,0,0,我心跳一下也累。吃饭的时候还会叹气。也很累。
0,0,1,0,0,0,1,0,0,0,0,0,走饭啊，我难过的感觉快要死掉了啊
0,0,0,0,0,1,1,0,0,0,0,0,我不想醒了，我只想永远的睡去，只是还差一个心愿去完成。完成了，我就走了。我的人生已经崩盘了…你等我哦，到时候我们聊聊。^_^
0,0,0,0,0,0,0,0,0,1,0,0,人这一生吧，总没那么的顺，我倒是浑浑噩噩的混了四十一年，曾经最难熬的日子就这么挺过来，现在想想，也无非就是皮糙肉厚，贪生怕死，给自己找个借口开心下，当然，每个人的遭遇不一样，并不试图劝解你，只是想想，十月怀胎好容易挤掉那几亿的兄弟变成了人，哪儿能这么轻易的把自己给交代了呢？
0,0,0,0,0,1,0,0,0,0,0,0,没有抑郁的人谈恋爱也不见得会幸福的，随心吧&nbsp;&nbsp;我觉得
0,0,1,0,0,0,0,0,0,0,0,0,"今天是我的22岁生 可是我为什么这么难受 这么压抑 跟朋友在一起还假装很开心 偷偷的趁姐妹在洗澡 划了几下舒服多了 为什么人活着要这么难啊 <a  alt=""http://t.cn/E6CqBs8"" suda-uatrack=""key=transmit_pic&value=transmit_pic_minicard"" href=""javascript:void(0);"" action-type=""widget_photoview"" action-data=""object_id=1022:2305977a05958885e9e11e7959c01702d80344&pid=c4b5149fly1g1wnol8clrj20u0140wow&mid=3424883176420210&cid=4359264354796888&short_url=http://t.cn/E6CqBs8"" imagecard=""pid=c4b5149fly1g1wnol8clrj20u0140wow""><i class=""W_ficon ficon_cd_img WBficon"">¡</i>评论配图</a>"
0,0,0,0,0,0,1,0,0,0,0,0,有时候脑袋里的细胞动一下，都觉得疲惫
0,0,1,0,0,0,0,0,0,0,0,0,我不知道，我本来还有点怕的，现在越来越无所谓了，死好像变成了我唯一的愿望哈哈哈
0,0,0,0,0,0,0,0,0,1,0,0,研没考上 工作也找不到 我这个垃圾
0,0,0,0,0,1,0,0,0,0,0,0,饭饭，我想告诉别人我难过，可是她们一定不会理解我的，我的伤心就是自己矫情，我莫名其妙的难过，我喜欢的东西很喜欢，可是放下之后，就又情绪不好，我想一直睡着，不想起来
0,0,0,0,0,0,0,0,0,1,1,0,饭我想去找你但是答应了别人要活到暑假的[失望]我真的好自私啊不顾他人的想法哈哈哈[失望]去哪跳楼好呢
0,1,0,0,0,0,0,0,0,0,0,0,最近情绪很不好，已经连续好几晚凌晨一两点才能睡着，一点点声音都难以入睡。 不知道是不是心理疾病，总是情绪失控，动不动就哭。 工作让我很挫败，什么都不会，做也做不好。和爸妈的关系也很差劲，不知道自己存在的价值的是什么。
1,0,0,0,0,0,0,0,1,0,0,0,明明我很好 我一切都很好 身边有重要的朋友有爱我的父母有幸福的家庭 可有时候真的会突然崩溃 会想放弃一起啊！！！！！不应该啊 但也无能为力啊 既不能一直开心的活着 却也不能干净利落的一了百了 毕竟放不下的太多 真的挺希望有一场意外 能带我离开
1,0,0,0,0,0,0,0,0,0,0,0,不能痛快的活也不能爽快的死
0,0,1,0,0,0,0,0,0,0,0,0,唯一合的来说得上话的舍友不在宿舍，觉得这里好恶心，那种蚂蚁在身上爬的难受
0,0,1,0,0,0,0,0,0,0,0,0,我看不到未来 一想到以后就压抑 无助
0,0,1,0,0,1,0,0,0,0,0,0,饭啊，你啥时候带我走啊？真的1活够了活怕了，一天24小时1440分钟86400秒，却没有一刻能够轻松的喘口气为自己而活。无止境的债务，无止境的责任，赚多少钱也填不完家里的洞。我真的放弃了，我已经尽我最大的努力了，还是不行。
0,0,0,0,1,0,0,0,0,0,0,0,我寻思着我妈觉得我的存在就是影响我的病最大的因素
0,0,1,0,0,0,0,0,0,0,0,0,我这么开朗的一个人，居然觉得活着没有意义了
0,0,1,0,0,0,1,0,0,0,0,0,饭饭，我想死了，我熬不下去了，为什么会这样，真心错付。。。我没有东西可以撑着我活下去了。。。
0,0,0,0,0,0,0,0,0,0,1,0,饭饭，我觉得我手欠了。开完会，剩一个领导和他下属还没离开会议室，我就顺手关了灯，这一点也不尊重领导😢。事后回去会议室取东西的时候，听到几个服务人员（女）在里间说“那个姑娘关了灯怎么不把门也锁了”，可能我一点都不懂职场生存规则😢。
0,1,0,0,0,0,0,0,0,0,0,0,我买啥东西啥东西缺货
0,0,0,0,0,0,0,0,0,0,1,0,我有无数种方式证明自己不坏或者没那么坏&nbsp;&nbsp;&nbsp;&nbsp;但让那个女孩子哭是事实
0,0,0,0,0,0,1,0,0,0,0,0,我也是。失去了最后一根稻草。连呼吸都困难。
0,1,0,0,0,0,1,0,0,0,0,0,今天考科目二挂掉了 当时感觉天都要踏了
0,0,1,0,0,0,1,0,0,0,0,0,饭饭 我之前一直觉得为失恋那么痛苦的人很可笑 可是现在我离开他真的太悲伤难受了 我失去最后一根救命稻草了
0,0,0,0,0,0,0,0,0,0,1,0,我并不善良，当我选择死亡的时候，我就把父母朋友放在了接受负面的影响里了，非常对不起他们
0,0,0,0,0,0,0,0,0,0,1,0,我哪里做的不好，你告诉我，对不起，我总是执着的不是地方
0,0,0,0,0,1,0,0,0,0,0,0,不敢期望有人会安慰，不敢成为别人快乐的理由，不敢去面对生活，不想说话，谁也不会发现我不好了，谁也不会在意，尽管想被记得，想被重视，想被放在心里，从未拥有，所以更加珍惜
0,0,1,0,0,1,0,0,0,1,0,0,心里好一阵难受&nbsp;&nbsp;&nbsp;&nbsp;这世界并不爱所谓善良的人&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;善良只说明我懦弱罢了
0,0,0,0,0,0,0,0,0,1,0,0,我自私懦弱，起码想在离开之后给他们的负面影响降到最低。或许会突然出去旅游，在准备好遗书和所有东西后，跳下某个山崖？这样搜救人员也很累。挑个湖边吧，弄个装置可以把我的尸体牵引回来。
0,0,0,0,1,0,0,0,0,0,0,0,我祈祷上天现在收了我的命吧，我不能在学校跳楼，学校没有错，老师同学没有错。回家也许挺好的，但是会被村里其他人指指点点吧，也会留下心理阴影的。
0,0,1,0,0,0,1,0,0,0,0,0,几年前我觉得自己挺好的 真的是越来越不行了 一切都在下坡路 什么时候是尽头啊 我好像掉进无底洞
0,0,0,0,0,0,0,0,0,1,0,0,活着好累，每个人都好虚伪
0,0,1,0,0,0,0,0,0,0,0,0,我一点都不好，过的一点都不好
0,0,0,0,0,0,0,0,0,1,0,0,我喜欢一个人 就只是喜欢了 是不是太懦弱 怕连话都说不了
0,0,1,0,0,0,0,0,0,0,0,0,讲出来太累啦， 想过了 就那样一天一天下去 承受不住的时候 就离开 带着这些年所有的难过 离开
0,0,0,0,0,1,0,0,0,0,0,0,今天下了好大的雨 舍友看着我在雨中走着 没有一把伞愿意邀请我 我只能拼命跑掉
0,0,0,0,0,1,0,0,0,0,0,0,"父母对子女的羡慕嫉妒已决定了人性的丑恶 <a  alt=""http://t.cn/E6SYBnc"" suda-uatrack=""key=transmit_pic&value=transmit_pic_minicard"" href=""javascript:void(0);"" action-type=""widget_photoview"" action-data=""object_id=1022:23059731927741941809687351f70737b2804a&pid=006Cwjl5ly1g1wckun483j308c08caa2&mid=3424883176420210&cid=4359167479782736&short_url=http://t.cn/E6SYBnc"" imagecard=""pid=006Cwjl5ly1g1wckun483j308c08caa2""><i class=""W_ficon ficon_cd_img WBficon"">¡</i>评论配图</a>"
0,0,1,0,0,0,0,0,0,0,0,0,我这辈子过的太痛了 我原谅不了 我恨得不行
0,0,1,0,0,0,1,0,0,0,0,0,每分每秒都在煎熬，胸口很酸，眼泪止不住，可我不想它掉下来。
0,0,0,0,0,0,0,0,0,0,0,1,有时候没想到 自己最艰难的时候是自己家人一点点冷水往自己身上倒&nbsp;&nbsp;可能他们认为是对我好&nbsp;&nbsp;&nbsp;是为我考虑&nbsp;&nbsp;可是为什么不心疼心疼我&nbsp;&nbsp;问问我的想法&nbsp;&nbsp;就算不支持 也不要打击好不好&nbsp;&nbsp;我的人生不想被他们安排的明明白白&nbsp;&nbsp;&nbsp;或许他们说的 扑的路安安稳稳的没错&nbsp;&nbsp;&nbsp;&nbsp;但是我是个人&nbsp;&nbsp;有自己的想法 我想要快乐
0,0,1,0,0,0,0,0,0,0,1,0,饭，我又来了。我想死，死不起。我好难过，都是我一手造成的。
0,0,1,0,0,0,0,0,0,0,0,0,有些事情真的烦，我在对象家，她父母一心想赶我走，然后我对象拦着和她妈吵架打架就为了留我，她每天上学，我每天在她家，我家里人被他们家的人说我一个个来说我，把压力挤在我身上，我能把压力挤在谁身上呢？ 我对象她每天自己上学，还要操心我们之间的事情，有些事情的压力真的不应该在加她身上了。
0,0,0,0,0,0,0,0,0,0,1,0,造成这一切的原因是我对自己要求太高了
0,0,0,0,0,0,0,0,0,0,1,0,一切都是因为我变糟的
0,0,1,0,0,0,0,0,0,0,0,0,大哭一场，可是有什么用呢，哭完我还是得面对这个该死的世界，我如果能悄无声息的死了该多好
0,0,0,0,0,0,0,0,0,1,0,0,我也是啊，别人都说我内向，我也恐惧社交，但是我就是不知道怎么跟别人相处，我也不喜欢孤独
0,0,1,0,0,0,1,1,0,0,0,0,今天的我很不开心，下了班家里却没人，也没有饭吃，妈妈要在别人家吃了饭才能给我带回来，没有人知道此时的我多么难过无助，就像被全世界抛弃了一样。
0,1,0,0,0,0,0,0,0,1,0,0,什么都做不好，连普通人都做不到，一无是处的我
0,0,1,0,0,0,0,0,0,0,0,0,第一次来看你，没想到是七年后，今年，面对抑郁症，我选择坦然面对，不逃避，我总是害怕如果我跟别人说我有抑郁症，会被人认为我是网上傲娇的孩子，我曾以为抽烟可以缓解我的抑郁，可当烟瘾和抑郁一起折磨我的时候，我知道我需要治疗，可我又不希望身边的人知道，我每天都在焦虑，可却不知道在焦虑什么
0,0,0,0,0,0,0,0,0,0,1,0,只有在饭饭这里才能看到与我相似的人，现实中根本没有我这样的人，一个人没有家人朋友对象好奇怪啊，可是我偏偏就是没有，可能所有的错都是我造成的吧
0,1,0,0,0,1,0,0,0,0,0,0,永远都是不被珍惜的人
0,0,1,0,0,0,0,0,0,0,0,0,饭 从我记事起父母就离婚了我跟了爸爸 但我爸从我上小学二年级的时候把我接到上海丢我叔叔家就不怎么管我 小时候上学一个人 长大了步入社会也是一个人 没有亲情 没有友情 没有爱情 从小到大有什么事情从来都是我自己一个人扛 过节的时候别人都回家过节了可我连家都没有 我真的好累 不知道为什么而活着
0,0,0,0,0,0,0,0,0,0,1,0,我是个罪人
0,0,0,0,0,0,0,0,0,1,0,0,看到一句话 我觉得自己就像个精神分裂者 像个怪人 像个神经病 我一边要压抑着自己悲观的情绪和想法 一边让自己看起来开朗活泼人见人爱
0,0,1,0,0,0,0,0,0,0,0,0,抑郁症是穷人病吧，日复一日的机械劳作，一言难尽的家庭琐事，突如其来的恶意。
0,0,1,0,0,0,0,0,0,0,0,0,所以什么时候我可以死一死，好难受，好痛苦，根本不是一回事，真的很难受，我不想坚持了，是不是死了就好了
0,0,0,0,0,0,0,0,0,1,0,0,羡慕你，我有些社恐，跟人对视都困难，特别想一个人生活，可惜每天被迫面对很多人，简直生不如死。
0,0,0,0,0,0,0,0,0,1,0,0,我真低级
0,0,1,0,0,0,1,0,0,0,0,0,半年了 还是找不到工作怎么办 活不下去了
0,0,0,0,0,0,0,0,0,1,0,0,为什么我被欺负了总是不会发飙，她太恶心了
0,0,0,0,0,1,0,0,0,0,0,0,哈哈哈哈哈哈哈我以后一定不是合格的老师
0,0,0,0,0,1,0,0,0,0,0,0,生病了才发现其实我一个朋友也没有……
0,1,0,0,0,1,0,0,0,0,0,0,深情从来都是被辜负，只有薄情才会被反复思念
0,0,0,0,0,0,0,0,0,0,1,0,我发现我是一名同性恋。我对不起家人对不起朋友，我不敢承认，我没有孝心，我的朋友也会离我而去，每天浑浑噩噩，没有任何用处
0,0,0,0,0,0,0,0,1,0,0,0,原来到现在了还有这么多人记得她，现在南京通了好多条地铁了，但是还是挤，如果你还在世的话应该还是不喜欢吧。
0,0,1,0,0,0,1,0,0,0,0,0,哎，我一直都是个孤独的人，直到碰到了我的兔兔，昨天她走了，我觉得我的全世界都随着她的离开离开了，有一种真的是想离开这个操蛋的世界，想去找我的兔兔，哎，，。
0,0,0,0,0,1,0,0,0,0,0,0,回到家我爸妈肯定会把我赶回学校
0,0,0,0,0,1,0,0,0,0,0,0,所有人都要把我往死里逼
0,0,1,0,0,0,0,0,0,0,0,0,好累啊饭，外面天气那么好，可是我却绝望到要崩溃了，你说我该怎么办，好想有人能够帮帮我[泪][泪]
0,0,1,0,0,0,0,0,0,0,1,0,胡扯，累死了，每天自责恐惧，身体病痛折磨，我还是早早规划一下，早日脱离苦海
1,0,0,0,0,0,0,0,0,0,0,0,今天的坏事情已经过去了，那剩下的都是好事
0,0,0,0,0,1,0,0,0,0,0,0,我2017年因为一个男孩子自卑 于是减肥绝食 我在我并没有什么抑郁的时候 觉得抑郁症能引起别人注意 于是假装自己是 谁能想到弄假成真。先是精神性厌食症 继而是暴食 百忧解是基础药 但在那时我却觉得自己一切正常 这个死胡同一旦钻进去 没人可以救你 16岁的时候
0,0,0,1,0,0,0,0,0,0,0,0,我明明在跟朋友逛街吃饭看电影K歌这是我喜欢的事情 但是就不是发自内心的快乐 只感觉人生好累 好想真正开心起来 这样的感觉太难受了[悲伤]
0,0,1,0,0,0,0,0,0,0,0,0,我一闭上眼睛 满脑子都是痛苦的回忆 我就这样睁着眼睛到天亮 我活到21岁 只记得那天的海 只有那天 我真正觉得幸福 只有那么一天啊…
0,0,0,0,0,0,0,0,0,1,0,0,有时候我很想像以前一样，哇的一声大哭出来。但是我突然发现我没眼泪了，麻木了。想一个布偶娃娃，感觉不到人间情味了
0,1,1,0,0,0,0,0,0,0,0,0,饭 我又回想起了那些委屈 哇 我至今心脏都一块揪着一块的疼 虽然过去那么久 这个世界对我并不友好 我看出它并不喜欢我了 我也很无奈阿 硬撑着好没安全感的心脏 只能用笑笑来掩饰自己的伤口 妈的没关系 大不了一死
0,1,0,0,0,1,0,0,0,0,0,0,这个世界一点也不喜欢我，我也不喜欢它了。
0,0,1,0,0,0,0,0,0,0,0,0,感觉被生活压的喘不过气了，瞪着眼睛熬到天亮，即便困得流泪。在想，我们这么活着是为了什么呢，有什么意义啊，苦多甜少，还要这样，为了生存而生存吗？
0,0,1,0,0,0,0,0,0,1,0,0,很羡慕你能勇气，感觉自己就是个胆小的老鼠。她把我删了，妈妈觉得我是个异类总是谈起离婚前的事情让我自己去找爸爸。老师觉得我是累赘，快毕业了工作也签不上，面试就觉得我是个消极的人，朋友借了钱跑路了，这些事，依然没有勇气站起来也没有胆量去结束，如果得了绝症该有多好，可以理所应当的离开了
0,1,0,0,0,0,0,0,0,0,0,0,说结束的话很容易 但结束很难 一直以来都活在这种困难中
0,1,0,0,0,1,0,0,0,0,0,0,这个世界一点也不喜欢我&nbsp;&nbsp;我也不喜欢它了
0,0,0,0,1,0,0,0,0,1,0,0,看到下面有条评论：我只是想要被爱。可是，我想要真诚地被爱，虚情假意，像对个消遣品一样随意对待，当我好欺负吗？可是，我还是这样被人欺负了。好没意思，人生啊。
0,0,1,0,0,1,0,0,0,1,0,0,2019年4月9号&nbsp;&nbsp;夜很深了 想一走了之了 我这个人自私自负 谈恋爱 给女朋友带来很多痛苦 我真的觉得自己白活这么多年了 自暴自弃了 感觉心里不知道为什么 很难受 看着窗外过往的车辆 想了想 是不是跳下去 就没有这么多事了 也不会有人想起我 过往云烟 我对不起妈妈.
0,0,0,0,0,1,0,0,0,0,0,0,这个世界上好像没有真正爱我的人
0,0,0,0,1,0,0,0,0,0,0,0,工作被领导针对，同事还在背后说坏话告状。今天一气之下走人了，没拿工资，这个月还要交房租，没有钱，很快连住的地方也没有了。父母也好多年没联系了，一直一直一个人，努力支撑着活下去，太累了
0,0,0,0,0,1,0,0,1,1,0,0,我也在等这样的人出现，但是又觉得如此不堪的我，应该不会有人接近。
0,0,0,0,0,0,0,0,0,1,0,0,很多个难熬的夜晚，今晚称最，原谅我今晚的怯懦，我想要喊救命。
0,0,0,0,0,0,0,0,0,1,0,0,感觉自己就像一个feiwu可还行
0,0,1,0,0,0,1,0,0,0,0,0,2018年我知道我挽不回他 然后自己去了另一个城市 去看了很多风景 我以为我还是可以很快乐 但夜晚来临之时 我还是一个劲哭 哭几个小时 然后吃错东西就直接食物中毒进医院了 
1,0,0,0,0,0,0,0,0,1,0,0,成熟的人是不会有情绪的，有情绪的人都是傻子
0,0,0,0,0,1,0,0,0,0,0,0,被莫名其妙的情绪耗费掉太多精力了，真的太累了，做人太难了，看着爱自己，自己爱的都过的不好，才明白善有恶报，恶有善报。
0,0,0,0,0,0,0,0,0,1,0,0,饭饭，我有些熬不住了。我受不了自己明明很悲伤却要笑着面对生活的样子。我讨厌别人否定我的努力，我讨厌他们伤害了我却又当作什么事都没有发生的样子。我要人格分裂了。两个都是我，但一个是假笑的玖娘，一个是阴暗至极的玖娘
0,0,0,0,0,1,0,0,0,0,0,0,心情很糟糕，怀疑男朋友身心出轨，想分手，但经济还没独立，烦
0,0,0,0,0,0,0,0,0,1,0,0,知道自己很不好很不好，但是，但是呀，每次说想死的时候，眼泪就会很急迫地涌出来。我是希望这是留恋啦，就当是——一个并不幸运的小胖子，对这个很好看很好看的世界的，所能做到的，最深情吧。有一点点想变幸福，我不贪的，说一点点就一点点。悄悄告诉你哦，我买了一个小泡泡机！
0,0,1,0,0,0,1,0,0,0,0,0,你好，抱歉在极其奔溃的时候上网查一些东西知道了你。抱歉借你的地方给我发泄一下。最近好像很多事情都不顺利呢。一点都不和善的家庭，不停歇的工作，和并没有你想的那么好的朋友。一次性同时，感觉自己很崩溃。想离开这个世界，但真的很害怕亲人奔溃。因为啊 我梦过自己的亲人离开就已经无法再想了。
0,0,0,0,0,0,0,0,0,1,0,0,你知道我有多么讨厌我自己吗 虚伪的人际 让我觉得自己是个扮演着恶心角色 却抽离不出来 还要陪这世界一起笑
0,0,0,0,0,1,0,0,0,0,0,0,我突然间觉得我没有一个朋友，因为我心里的那些话，我一个朋友不敢说，好像我说了，他们也不会真正理解我的处境。
0,1,1,0,0,0,0,0,0,0,0,0,没什么，只是在绝望的深渊继续挣扎着，但我挣扎的好累啊，明明他一直在陪着我，可我为什么始终都逃离不了绝望的深渊
0,0,1,0,0,0,0,0,0,0,0,0,饭，我突然发现，不管再亲近的人，不是抑郁症就永远不会理解发作时绝望的心情，那种找不到活下去的理由，整个世界一片灰暗的感觉真的很不好，从他知道我有抑郁症开始就一直在陪着我，可他不会理解那种心情，他说让我别胡思乱想，想点开心的，如果不是胡思乱想怎么会有抑郁症，所以我不知道该怎么诉说
0,0,1,0,0,0,0,0,0,0,0,0,一直以为自己又开朗又坚强，慢慢的骗过了身边的所有人，包括亲人都开始不在意我的心理状态，经常会说出些很伤人的话。最近的我，越来越常想自杀，要是有饭饭的勇气就好了，这样就不会度过每一个黯淡无光的明天
0,0,0,0,0,0,0,0,0,1,0,0,我也很自卑，是真的真的自卑，多希望不要有优秀的人出现在我的世界里
0,0,0,0,0,0,0,1,0,0,0,0,总想依靠一份感情来拯救自己，最后发现，折磨了别人，更痛苦了自己，也许我就是不配得到爱
