非此即彼	以偏概全	心理过滤	否定正面思考	读心术	先知错误	放大	情绪化推理	应该式	乱贴标签	罪责归己	罪责归他	内容
0	0	0	0	1	0	0	0	0	0	0	0	已经挣扎了好久啦 浮浮沉沉的。爸爸妈妈似乎不是很爱我呢 最在乎的朋友也没有那么喜欢我 班上同学好像也觉得我是个不喜欢上课天天逃课的坏学生呢 但是我都有在自学喔 因为我不想不敢不愿和他们呆在一个地方呢我可喜欢一个人躲在不开灯的没人的宿舍呢 黑漆漆的很有安全感 是不是有些人生来就该被讨厌阿
1	0	0	0	0	0	0	0	0	0	0	0	饭 你喜欢攒钱么 我吧 一但攒不下 就像是要死了一样难受
0	0	0	0	0	1	0	0	0	1	0	0	不想再浑浑噩噩了 可是自己太懦弱了 别再折磨自己了 可是终有一天会解脱的 开心和幸福这辈子应该是没有了 可是也不想有下辈子
1	0	0	0	0	1	0	0	0	0	0	0	我们都想帮助别人,可百分之八十的结果要么是增加负担,要么是毫无用处
0	0	0	0	0	0	0	0	0	1	0	0	其实我就 只是个累赘吧 我懂 嗯我明白
0	0	0	0	0	0	0	0	0	1	0	0	我不配拥有幸福,即使来了,也会亲手把它毁掉。觉得这样的自己好恶心,什么都做不好,居然还在奢望能有人来救赎,凭什么。
0	0	0	0	0	0	0	0	0	1	0	0	你真的让我觉得我就是个很差劲的人 ¡评论配图
0	0	0	0	0	0	0	0	0	1	0	0	我就是一神经病
0	0	0	1	0	0	0	0	0	0	0	0	堕入了很深的自我否定中,我感受不到任何友好的讯息,很痛苦,很累,还有莫名的深深的恐惧
0	0	1	0	0	0	0	0	0	0	0	0	我想自杀，没人知道，我没有爸爸了，我根本就走不出来，每次还要很开心地当姐姐，我工作还做不好，给不了家里什么，妈妈的担子很重，我不想背负很重家里的包袱，我想做自己喜欢的事情，陌生的城市我一个人都不认识呐，我还怕黑，每天都开灯睡觉，难过的时候没次都要躲一个小角落里自己抱自己，[伤心]
0	1	0	0	0	1	0	0	0	0	0	0	没人愿意和抑郁症患者谈恋爱吧都会被讨厌的
0	0	0	0	0	0	1	0	0	1	0	0	我是不是很懒,是不是没用,我强制自己工作,却什么事情都做不好;我真的满脑子都是认为自己没有用;周而复始的情绪,一次次的伤害那些最爱我的人;如果可以,让我离开,我就不会成为累赘和你们的负担;
0	0	0	0	0	0	0	0	0	1	0	0	我好想听到你说:她是一个很好的女孩子,只是我自己配不上她。 你现在让我自卑到极点了啊啊啊啊啊你知道吗,我才是世界上最差劲最蠢的女孩
0	0	1	0	0	0	0	0	0	0	0	0	饭，我突然发现，不管再亲近的人，不是抑郁症就永远不会理解发作时绝望的心情，那种找不到活下去的理由，整个世界一片灰暗的感觉真的很不好，从他知道我有抑郁症开始就一直在陪着我，可他不会理解那种心情，他说让我别胡思乱想，想点开心的，如果不是胡思乱想怎么会有抑郁症，所以我不知道该怎么诉说
0	0	0	0	0	0	0	0	1	0	0	0	我觉得,我这种人,不该活着。
0	0	0	0	1	0	0	0	0	0	0	0	一听到别人窃窃私语,就总以为是在说自己;我真的是
0	0	0	0	0	0	0	0	0	0	1	0	刚跟老爸吵了一架,是我想这样的吗?都是我的错,是我让老爸不舒服了,我有罪,我是个罪人,我想走,想离开这个世界,可是我刚搭应不放开她的手,怎么办
0	0	0	0	0	0	0	0	0	0	1	0	我发现我是一名同性恋。我对不起家人对不起朋友，我不敢承认，我没有孝心，我的朋友也会离我而去，每天浑浑噩噩，没有任何用处
0	1	0	0	0	0	0	0	0	0	0	0	我的人生总是被人抛弃,被母亲,被父亲,被朋友。
0	0	0	0	0	0	0	0	0	1	0	0	陌生男性好恶心好恶心好恶心,这半个月剩不到三百块了,还被骗了一半我真的越来越讨厌男生了,好恶心好恶心好恶心,好难受好窒息明明好久没这样了明明一切都好起来了明明我已经可以自我麻痹不去想未来想生活了
0	0	0	0	0	0	0	0	0	1	0	0	拿纸巾擦了又擦想假装没掉过眼泪,可是眼睛红了,掩盖不掉的,我好没用啊
0	0	0	0	0	0	0	0	0	0	1	0	总会试着去寻找是不是这个世界错了，寻找不是自己的问题。可是找来找去终究是自己不行啊。比赛自己学识不够，拖后腿。打游戏自己能力不够，被喷。说话谈吐也感觉自己读书不够，肤浅。肤浅到和游戏里的人都能对骂起来。
0	0	0	0	1	0	0	0	0	1	0	0	很奇怪啊,我妈走了那么多年,她咋从来不托梦给我?托梦给家人朋友,就是不托梦给我?为啥啊?是不是你也讨厌我?因为我没用?因为我不肯嫁人?
0	0	0	0	0	0	0	0	0	1	0	0	他们都说世界很美好 但是很抱歉 我真的没有发现这个世界的美好所在 我就是这样扫兴的一个家伙 都离我远点儿;;我不要谁的关系和安慰
0	0	1	0	0	0	0	0	0	0	0	0	外面下好大的雨，真冷，感觉不到温暖，我想活着，但是对身体的折磨太痛苦了，我感觉不到自己活着了，我还是要再熬一熬。
0	0	1	0	0	0	0	0	0	0	0	0	如果死掉就好了活着就是一件让人难以忍受的事仿佛空气都变得稀薄每时每刻都面对着让人无法忍受的孤独与恐惧
0	0	0	0	1	0	0	0	0	0	0	0	我也是,我跟我男朋友说我压力好大好难受,他就要骂我,我觉得他可能不是真的喜欢我吧
0	0	0	0	0	0	0	0	0	1	0	0	嗯,我就是很没用,被看不起被忽视不在乎也是正常的,但我决定改变我自己了。
0	0	0	0	0	0	0	0	0	1	0	0	被困在没有生命的世界里，日夜沉沦，逃不开，躲不掉。我感觉到女朋友介意了，我是个有问题的人，我承认得很坦然，但是内心的痛苦有谁能懂。承认了反而轻松，我就是个有问题的人，爱我的人，我会更爱你，不爱的人走了，我会痛苦，会崩溃，但是你永远也没有机会，知道我曾经有多爱你了。也许你根本不在乎
0	0	0	0	0	0	0	0	0	1	0	0	我是个恶毒的人
0	0	0	0	0	1	0	0	0	0	0	0	饭饭,我又来了。我为什么命那么不好呢?我一直那么努力的想要改变自己,努力地想要把生活过好,可是……唉~我终于来到了所谓的大学,却依旧过得那么煎熬……好像人生真的不会好起来了,我可能要一辈子就这样痛苦下去,直到生命结束。唉~
0	0	0	0	0	0	0	0	0	1	0	0	谁叫我是穷鬼
0	0	0	0	0	0	0	0	0	1	0	0	自己真的很没有用啊
0	0	0	0	0	0	0	0	0	1	0	0	像我这样的人,自私,虚伪,冷漠,无情,背叛过爱人,伤害过家人,还在沾沾自喜没有一点悔过,在安稳的生活,我是怎么有脸继续的?请为我打造愧疚个悔恨的牢笼,让我日日忏悔自责,每时每刻折磨心灵,这才是对我最大的惩罚,死了这么便宜的事不能让我有
0	0	0	0	0	0	0	0	0	1	0	0	走饭 我突然想起来 你之前说 每个强大的妈妈身后都有一个懦弱的男人 我想我也是 他真的很恶心 是我认识的最恶心的男人 没有之一
0	0	0	0	0	0	0	0	0	1	0	0	知道自己很不好很不好，但是，但是呀，每次说想死的时候，眼泪就会很急迫地涌出来。我是希望这是留恋啦，就当是——一个并不幸运的小胖子，对这个很好看很好看的世界的，所能做到的，最深情吧。有一点点想变幸福，我不贪的，说一点点就一点点。悄悄告诉你哦，我买了一个小泡泡机！
0	0	0	0	0	0	0	0	0	1	0	0	傻，还天真，借别人钱去催他还钱，他不但不还还叫人打我，结果下一次他可怜的假样又找我借钱我还是借了，没有人说你宽容，善良，只会说你是个烂好人，还没脑子，自己做事从来都是约束自己做不好一件事给人家道歉还心有愧疚给人家补偿，想做恶人但是潜意识却想做个好人，可笑
0	0	0	0	0	0	0	0	0	1	0	0	我好没用 还长的丑
0	0	0	0	0	1	0	0	0	0	0	0	失眠焦虑 情绪崩溃 头疼胃痛 血液发烫 记忆下降 视力模糊无法聚焦 心悸心慌 幻听手颤抖 当所有的躯体不适都出现在我身上 蔓延至全身发展成游走性疼痛 且无法治愈的时候 我想我离死亡也就不远了。 
0	0	0	0	0	0	0	0	0	1	0	0	有时候觉得自己真几把恶心
0	0	0	0	0	0	1	0	0	0	0	0	现在一点小事就能让我崩溃
0	0	0	0	0	0	0	0	0	1	0	0	他说他爱我,我突然鼻头一酸,我这样的人怎么配得上他啊,每天都在给他惹麻烦,我真的太没用了
0	0	0	0	0	1	0	0	0	0	0	0	像我这种微胖的人没人爱呀
0	0	0	0	0	0	0	0	0	1	0	0	活着太累了,饭饭,我真的觉得自己成了一个怪物一样,我一点也不喜欢这样的自己,一点也不喜欢这世界
0	0	0	0	1	0	0	0	0	0	0	0	马路上的车避让我 没有人害怕我死 只不过是害怕他们赔钱
0	0	0	0	0	0	0	0	0	1	0	0	有时候我在想,如果,我要恨一个人,我该恨谁呢,想来想去,我好像,唯独恨我自己,别人都很好,而我却是个笨蛋,笨到无可救药,还那么的迟钝
0	0	0	0	0	0	0	0	0	1	0	0	我把琴摔坏啦,它现在跟我一样是残废啦
0	0	1	0	0	0	0	0	0	0	0	0	不敢去医院开药，快疯了。每天对自己说“滚”，每天装得像个正常了。一个人好累。
0	0	0	0	1	0	0	0	0	0	0	0	昨天因为自己突然的情绪,估计最好的朋友也不喜欢我了
0	0	0	0	0	1	1	0	0	0	0	0	饭，我错过了报名时间，我参加不了考试了，我没有跟任何人说，因为这件事，我自己已经很痛苦了，如果我跟别人说，又会受到指责了，那样就会更痛苦。你能懂我的吧，饭。
0	0	0	0	0	0	0	0	0	1	0	0	我想到这个才难过 不是他要离开我我难过;;要离开我总有办法去挽留 小错我可以改大错多一点时间我也可以做的更好 反正没得个三 总是我两个人出问题了 都有办法 可是在一起也没办法长久让我觉得自己蛮废的 和谁处都就一阵
0	0	0	0	0	0	0	0	0	1	0	0	如果是在三个人当中;;我永远觉得自己是多余的
0	0	0	0	0	0	0	0	0	1	0	0	我现在痴痴呆呆的 好烦……阿!
0	1	0	0	0	0	0	0	0	0	0	0	好疼啊。藏住我的软肋。再变坚强好难。她为什么就不喜欢我啊,为什么就没有人喜欢我啊。
0	1	1	0	0	0	0	0	0	0	0	0	饭 我又回想起了那些委屈 哇 我至今心脏都一块揪着一块的疼 虽然过去那么久 这个世界对我并不友好 我看出它并不喜欢我了 我也很无奈阿 硬撑着好没安全感的心脏 只能用笑笑来掩饰自己的伤口 妈的没关系 大不了一死
0	0	0	0	0	0	0	0	0	1	0	0	我就是个错误
0	0	0	0	0	0	0	0	1	0	0	0	我不该走极端 我该直接下地狱
0	0	0	0	0	0	0	0	0	1	0	0	我这种肮脏的灵魂,不配这个世界
0	0	0	0	0	1	1	0	0	0	0	0	刚才店里来了几个我可能永远也接触不到的层面的人,突然觉得无论自己怎么努力都是茫然,觉得自己的目标很遥远,可能永远也不会达到那个高度,可能会碌碌无为一辈子,我觉得我接受不了这样的自己.
0	0	0	0	0	0	0	0	0	1	0	0	我很胆小
0	0	0	0	0	0	0	0	0	1	0	0	曾经我真的认为我是一个不差的女孩子 也许不够成熟 但一定值得一份&quot;非我不可的爱&quot; 可为什么 接近我又逃离我 我真的有这么不堪吗
0	0	1	0	0	0	0	0	0	0	0	0	我只想死掉不想再感受了我覺得好黑.
0	0	0	0	0	0	0	0	0	1	0	0	饭饭,我今天因为一件很小的事情崩溃了。他们都觉得很无所谓的一件事。我是不是太没有用了啊。可能是我太矫情活该吧。
0	0	0	0	0	0	0	0	0	1	0	0	一个恶心的人,说的每一个字都恶心
0	0	1	0	0	0	0	0	0	0	0	0	自己停了药，情绪完全崩溃，真的活着好累，为什么死不了为什么？活着一天折磨我一天
0	0	0	0	0	0	0	0	0	1	0	0	我选择放弃 我真是一个废人 我没用的啊 太失败了
0	0	0	0	0	0	0	0	0	1	0	0	不对,我本来就是弱智,打扰了,抱歉
0	1	0	0	0	0	1	0	0	0	0	0	不管做什么事情都做不好,所有的事情都会自责,送给前女友的两只蜜袋鼯,她给退回来了,我现在自己喂着,只想把两个小家伙喂好,作为一个精神寄托,但是母亲却一直反对我喂这两个小家伙,难道连一个精神寄托都不能拥有么
0	0	0	0	0	0	0	0	0	0	1	0	是我的错,都是我的错,是我不行,是我不配为人,生而为人,我很抱歉
0	0	0	0	0	0	0	0	0	1	0	0	我特别没用
0	0	1	0	0	0	0	0	0	1	0	0	不愿意见人,不想上课。每天把自己关在房间里,拉着遮光窗帘,白天晚上都是一片漆黑的。每天想着自己有多么的失败,从来都没有快乐过。
0	0	0	1	0	0	0	0	0	1	0	0	我的生活时常黑暗 一直也有人给我温暖 可是微不足道 他们就好像只是短暂的关心我一下 而我 连这点关心也配不上 我是垃圾 本不该祈求能见到光明
0	0	0	0	0	1	0	0	0	0	0	0	这个世界不会好了
0	0	0	0	0	1	0	0	0	0	0	0	我觉得我不配放松 只要一意识己放松下来了就马上想不好的事情或者觉得马上要发生不好的事情让自己一直处在不安的状态里
0	0	0	0	0	1	0	0	0	0	0	0	你说 我下辈子还有可能谈恋爱吗 这辈子大概是不可能了
0	0	0	0	0	0	0	0	0	1	0	0	不想活。不想纠结。只想逃避。是我太弱了。
0	0	0	0	0	0	0	0	0	1	0	0	你其实挺自私的，不想要自己难过，所以选择让我难过
0	0	0	0	0	0	0	0	0	1	0	0	从小到大 这么用心的抚养我 但是我还是长得很糟糕
0	0	0	0	0	0	0	0	0	1	0	0	或许,我只是个累赘而已
0	0	0	0	1	0	0	0	0	0	0	0	刘建华我喜欢你，可你讨厌我
0	0	0	0	0	0	0	0	0	1	0	0	有没有跟我一样的,觉得自己就是一坨垃圾,又懒又没本事,感觉活着是一种羞耻
0	0	1	0	0	0	0	0	0	1	1	0	饭 又是凌晨3点半 我觉得我已经是个神经病了 连做梦都在否定自己 陷入无休止的恶循环 我还记得那种感受 真的难受 从里到外的厌恶自己 骂自己 越是沉沦 越是难过 越是难过 越是沉溺 我终于懂了 我有一天也会去找你的吧 也不知道你见到我会不会笑话我在你微博底下留了那么多言 也许我根本见不到你
0	0	1	0	0	0	0	0	0	0	0	0	活的好辛苦。一个人撑了20年,还是看不到一点点希望。一个世界的人无法理解另一个世界的人。我一个人在荒岛上,我点燃了希望求救,求人们救救我。然而他们救不了我,我就这么烧光了希望
0	0	0	0	0	0	0	0	0	1	0	0	我不应该宣泄负能量,连说话都没有逻辑组织的人我糟糕透了
0	0	0	0	0	0	0	0	0	1	0	0	我固执敏感 永远热爱生活
0	0	1	0	0	0	0	0	0	0	0	0	饭我无时无刻都想死去 做人太难了我真的很累
0	0	0	0	0	1	0	0	0	0	0	0	负能量爆棚的我,只会被我所在的社交圈子所远离歧视而已。
0	0	0	0	0	0	0	0	0	0	1	0	是我让我自己的生活变成这样
0	0	0	0	0	0	0	0	0	1	0	0	啊;;好焦虑鸦;;有时候感觉自己真的太渺小了;;得不到的东西还要安慰自己是没有缘分;;其实真的挺累的;;;自己这么差劲的人;;;有时候总是想啊;;是不是已经失去了初衷啊
0	0	1	0	0	0	0	0	0	0	0	0	事业单位面试落榜了 我的人生路又断了 我好难过
0	0	0	0	0	1	0	0	0	0	0	0	我是做不了任何事的
0	0	0	0	0	0	0	0	0	1	0	0	好讨厌自己 一无是处
0	0	0	0	0	0	0	0	0	1	0	0	我真的是行尸走肉啊,有夢想和目標的走了,還留我這種人在人世幹嘛
0	0	0	0	0	1	0	0	0	0	0	0	我不再相信自己会被爱了,也无法好好的爱自己,什么也无法感觉,人与人的关连,与自己的关连,一个人 太漫长的时间,die
0	0	0	0	0	1	0	0	0	1	0	0	一天不跟她聊 我就觉得伤心 却又不敢一直理她;;在感情上我注定是个失败者
0	0	0	0	0	0	1	0	0	1	0	0	2019-12-4;;;画画画不好,设计没创意,做人很木讷,性格很内向。我一无是处。
0	0	0	0	0	0	0	0	0	1	0	0	为什么我还是这么差劲,为什么总是在指责我。
0	0	0	0	0	0	0	0	0	1	0	0	每天真的像个行尸走肉一样,每天都装得像个正常人一样
0	0	0	0	0	0	0	0	0	1	1	0	我又来了，现在心里特别难受，感觉人生无望，觉得特别对不起父母，我一把年纪的人了，还要他们操心，我怎么这么无能
0	0	0	0	0	0	0	0	0	1	0	0	我现在不想结婚,总想起来以前和那个恶毒的女人在一起的日子,但是迫于无奈下个月要跟一个善良的女孩子订婚了,我一定努力试着好好去爱她
0	0	0	0	0	0	0	0	0	1	0	0	我觉得自己活得很失败
0	0	0	0	0	0	0	0	0	1	0	0	软弱
0	0	1	0	0	0	0	0	0	0	0	0	我总是做错事,做的时候当时不觉得,然而发现自己做错了就开始无限愧疚,愧疚到抑郁。总沉浸在失败和错误的阴影里走不出来,不知道怎么重新看待自己,想向人倾诉却被骂,说明知错了还不尝试着改正,还在装可怜,作得一批。
0	0	0	0	0	0	0	0	0	1	0	0	我真的很没用
0	0	0	0	0	0	0	0	0	1	0	0	我是直接被当成垃圾一样丢弃了呢 可让人最难受的是 我对他们的恨 是恨他们不爱我
0	0	0	0	0	0	0	0	0	1	0	0	走饭，我和我的男朋友放手了，我是个很强势也很容易操心的人，他呢，正好相反，每次我都仿佛说的事情，他都忘记了，后来太多次我就发脾气了 ，我像个泼妇一样，我觉得我不是我了，我不想要对着一个木偶发火。
0	0	0	0	0	0	0	0	0	1	0	0	我不是聪明的孩子也不讨你们喜欢 我就是多余的附属品 这样也还是想认真的活着
0	0	0	0	0	0	0	0	0	1	0	0	饭饭,我真的太没用了,人不好,情绪糟糕,身体还差
0	0	0	0	0	0	0	0	0	1	0	0	活得这么失败 还是不要活了
0	0	1	0	0	1	0	0	0	0	0	0	世间的一切美好都与我无关
0	0	0	0	0	1	0	0	0	0	0	0	我运气真的很差了,没好过,什么好事都轮不到我
0	0	0	0	0	0	0	0	0	1	0	0	我上辈子肯定是个很坏的人 这辈子才会这么痛苦的活着
0	0	0	0	0	0	0	0	0	1	0	0	我知道了 有些人快快乐乐一定是善良可爱做了好事的人老天奖励他在可怕的人间也能自在 还有一些可能他们稍微差一点但也善良老天不想让她们在人间受罪所以让他们想睡着一样先走了 而像我这样的坏人老天给我留在人间受罪我一定是一个坏透了的人吧
0	0	0	0	0	0	0	0	0	1	0	0	我其实,就是个没长大的垃圾,我本性黏人,我好喜欢别人的亲亲抱抱,一个拥抱就能抚慰我的疲惫和创伤。家人密友离得好远……你能抱抱我吗……我难受啊
0	0	0	0	0	0	0	0	0	1	0	0	太无用了,
0	0	0	0	0	0	0	0	0	1	0	0	真的太懦弱了 懦弱到没办法自我消化一丝坏情绪 最后都化成深夜的泪水
1	0	0	0	0	1	0	0	0	0	0	0	活了21岁 还没谈过恋爱,注定孤独终老
0	0	0	0	0	0	0	0	0	1	0	0	我努力地想過好每一年過總有365天是失敗的。 我也不再假裝自己是個好的人了,我就一碌碌無為又提不起勁去做事的人,就一垃圾,早點死還能省了父母留去我的錢,早死早著。
0	0	0	0	0	0	0	0	0	1	0	0	我是真的挺失败的,明明才21岁,但对未来没有一点干劲和希望,觉得自己活着没有什么价值呢
0	0	0	0	0	1	0	0	0	0	0	0	我注定是个无名之辈呀
0	0	0	0	0	0	0	0	0	1	0	0	我想我在等待一场意外……这样就不会被骂了吧,或许不用意外吧……压抑太久了吗?竟然能在上课的时候差点哭出来……如果一觉醒来一切都能回到原样我一定不会选择求助,即使自己死了那也是骄傲着的死的啊……现在那么差劲的我……被生命厌恶的我……
0	0	0	0	0	1	0	0	0	0	0	0	没有什么会是我的 我喜欢的人永远不会喜欢我
0	0	0	0	0	1	0	0	0	0	0	0	我没有爱的人，也没有人爱我
0	0	0	0	0	0	0	0	0	1	0	0	我超差劲
0	0	0	0	0	0	0	0	0	1	0	0	如果班级是一个新出炉的面包的话,同学们就好像一个个新鲜的坚果。我像一只肥的流油的蛆。
0	0	0	0	0	0	0	0	0	1	0	0	我真的不想一个人睡觉,一个人吃饭了,我孤独,真的孤独,我真的需要爱啊,但是没有,什么都没有,一无所有,空虚无着,感觉自己就在这个世界飘着,像个行尸走肉,感觉不到自己活着,没有人爱我,也没有人需要我
0	0	1	0	0	1	0	0	0	0	0	0	每次的开心都觉得不属于自己，好像自己就属于悲伤。好想聊聊，和从前一样
0	0	0	0	0	0	0	0	0	1	0	0	饭饭,我不配活着,我太懦弱,总是逃避一切,死了就好了,对不对
0	0	0	0	0	0	0	0	0	1	0	0	我太讨厌自己了,我开始对一切失去兴趣了。我不知道自己还能撑多久,我很久没有发自内心地笑过了,我想笑一笑啊。每天失眠,只能哭累了才睡着,还做着讨厌的梦,我想睡个好觉。这么简单的事我都做不到,我太差劲了。
0	0	0	0	0	1	0	0	0	0	0	0	活着好累，感觉在哪，自己都像是多余的，多一个不多，少一个也不算少。
0	0	0	0	0	0	1	0	0	1	0	0	小饭 我好没用 鼓起勇气找工作却连面试的电话都不敢接 迈出这一步就好了 为什么这么难这么懦弱呢 活在自己的世界里太久 真的会连社会都面对不了 可我想走出去啊
0	0	0	0	0	0	0	0	0	1	0	0	对不起…我太无能了
0	0	0	0	0	0	0	0	0	1	0	0	多么无能
0	0	0	0	0	1	0	0	0	0	0	0	又回来了,以为它睡了,想不到它只是默不作声,越发感觉到失败,一切似乎都在往坏的方向发展,看不到头没有希望,越是担心死亡,担心来的太快还留有遗憾,同时也做好了心理准备不去畏惧,怎么不按套路出牌,越没有发生什么?找个体面点的理由,解脱了就算了,落下个意外的结局,挺好的,路人某爱你,娟
0	0	0	0	0	0	0	0	0	1	0	0	我真的好讨厌恶心的自己
0	0	0	0	0	0	0	0	0	1	0	0	我是傻瓜,白痴,脑残,好了伤疤忘了疼
0	0	0	0	0	0	0	0	0	0	1	0	我越来越觉得我不该活着祸害别人。
0	0	0	0	0	0	0	0	0	1	0	0	我好怕别人发现我是个怪物
0	0	0	0	0	0	1	0	0	0	0	0	所以加快了自杀的步伐,然后又想我自杀不就是因为性乱嘛那我不结婚就行了吗,然后想着想着又想到发展到结婚那步然后自杀又涌进心头,唉,我啥时才能摆脱呢
0	0	0	0	0	0	0	0	1	0	0	0	不，那个日子不好的，我觉得你应该死在温暖的床上，带着幸福的笑脸老死
0	0	0	0	0	0	0	0	0	1	0	0	其实也不算是不爱上学,其实是不爱社交,因为老是讨好人格而且不会说话,词不达意让人误会还爱多想,老觉得自己是个谎话精觉得拖累别人,所以就想远离学校,我真脆弱一点都不坚强,我拼尽全力想成为一个普通人但是好像有些困难
0	0	0	0	0	0	0	0	0	1	0	0	自己拿的邀请码又无用,后来要个商标又整唔到,你有几垃圾,好多人都知道,就老板不知道
0	0	0	0	0	0	1	0	0	1	0	0	工作都找不到,真的是个废人了
0	0	0	0	0	0	0	0	0	1	1	0	我什么都做不了,我真是个拖油瓶,我的存在一直在拖累我身边的人,他们都很好只有我一个人没用,是不是只有我死了才能好。
0	0	0	0	0	0	0	0	0	1	0	0	本来开朗的人如果因为我这种垃圾不开朗了;;;;;;;我是在犯罪
0	0	0	0	0	0	0	0	0	1	0	0	假如我从没来到过这个世界 爸妈就不用在为我操心 拿着这些年养我的钱 很好的生活 还有我姐姐照顾;;我这个废柴也不用天天被抱怨 被说教 我的存在就是一个错误
0	0	0	0	0	0	1	0	0	0	0	0	没有沟通能力 应变能力 思维能力 执行力 总之就是该有的职场能力全无
0	0	1	0	0	0	0	0	0	1	0	0	很羡慕你能勇气，感觉自己就是个胆小的老鼠。她把我删了，妈妈觉得我是个异类总是谈起离婚前的事情让我自己去找爸爸。老师觉得我是累赘，快毕业了工作也签不上，面试就觉得我是个消极的人，朋友借了钱跑路了，这些事，依然没有勇气站起来也没有胆量去结束，如果得了绝症该有多好，可以理所应当的离开了
0	0	1	0	0	0	1	0	0	0	0	0	你好，抱歉在极其奔溃的时候上网查一些东西知道了你。抱歉借你的地方给我发泄一下。最近好像很多事情都不顺利呢。一点都不和善的家庭，不停歇的工作，和并没有你想的那么好的朋友。一次性同时，感觉自己很崩溃。想离开这个世界，但真的很害怕亲人奔溃。因为啊 我梦过自己的亲人离开就已经无法再想了。
0	0	1	0	0	0	0	0	0	0	0	0	我真的太难受了 失业一个月 自己住在青旅 连口温开水都没得喝 全是便利店买瓶装水 一天天吃住开支都好大 又不愿这样失魂落魄地回家 街坊四邻不定怎样看你笑话 还&quot;大学生&quot; 可是现在真的投那么多简历都没有一个面试 真的绝望 好想我也这样就好了
0	0	1	0	0	0	1	0	0	0	0	0	没有颜值,没有学识,没有幽默,也不外向,不会讨好别人,不会说话,不会做事。家庭还挺差,没车没房,没有朋友,这样生活有啥意思
0	0	0	0	0	0	1	0	0	0	0	0	我有一个朋友,之前就挺抑郁的。我们不过一个半月没有联系,今天我突然发现她消失了。电话全部空号,连发几天消息也没有人回。我现在都不敢确定她还在吗?我才发现我根本不配当好朋友,我竟然连她具体住址都不知道。我突然发现对待生死我根本没有我想象中的那么淡然,至少我没有办法去平淡的看待身边人
1	0	0	0	0	0	0	0	0	1	0	0	为什么这么没用 我什么都做不好
0	0	0	0	0	0	0	0	0	1	0	0	糟糕的自己
0	0	0	0	0	0	0	0	0	1	0	0	感觉现在的我真的很差劲
